,name,type
0,Aardvark,animal
1,Abalone,food
2,Abiyuch,food
3,Abyssinian,animal
4,Acerola,food
5,Acorn,food
6,Adelie Penguin,animal
7,Adobo,food
8,Adzuki bean,food
9,Affenpinscher,animal
10,Afghan Hound,animal
11,African Bush Elephant,animal
12,African Civet,animal
13,African Clawed Frog,animal
14,African Forest Elephant,animal
15,African Palm Civet,animal
16,African Penguin,animal
17,African Tree Toad,animal
18,African Wild Dog,animal
19,Agar,food
20,Agave,food
21,Ainu Dog,animal
22,Airedale Terrier,animal
23,Akbash,animal
24,Akita,animal
25,Akutaq,food
26,Alaska blackfish,food
27,Alaska blueberry,food
28,Alaska pollock,food
29,Alaska wild rhubarb,food
30,Alaskan Malamute,animal
31,Albacore tuna,food
32,Albatross,animal
33,Alcoholic beverages,food
34,Aldabra Giant Tortoise,animal
35,Alfalfa,food
36,Alligator,animal
37,Allium Onion,food
38,Allspice,food
39,Almond,food
40,Alpaca,animal
41,Alpine Dachsbracke,animal
42,Alpine sweetvetch,food
43,Amaranth,food
44,Amazon River Dolphin,animal
45,American Alsatian,animal
46,American Bulldog,animal
47,American Cocker Spaniel,animal
48,American Coonhound,animal
49,American Eskimo Dog,animal
50,American Foxhound,animal
51,American Pit Bull Terrier,animal
52,American Staffordshire Terrier,animal
53,American Water Spaniel,animal
54,American butterfish,food
55,American cranberry,food
56,American lobster,food
57,American pokeweed,food
58,American shad,food
59,Amur Leopard,animal
60,Anatidae Duck Goose Swan,food
61,Anatolian Shepherd Dog,animal
62,Anchovies,animal
63,Anchovy,food
64,Angelfish,animal
65,Angelica,food
66,Anguilliformes Eel,food
67,Animal foods,food
68,Anise,food
69,Annual wild rice,food
70,Ant,animal
71,Anteater,animal
72,Antelope,animal
73,Antelope,food
74,Appenzeller Dog,animal
75,Apple,food
76,Apple cider,food
77,Apricot,food
78,Arabica coffee,food
79,Arapaima,animal
80,Arctic Fox,animal
81,Arctic Hare,animal
82,Arctic Wolf,animal
83,Arctic blackberry,food
