,name,type
0,Aung ,M
1,Aung Aung ,M
2,Aung Aung Lwin ,M
3,Aung Aung Oo ,M
4,Aung Aung Soe ,M
5,Aung Aye ,M
6,Aung Ba ,M
7,Aung Baw ,M
8,Aung Bo ,M
9,Aung Chain ,M
10,Aung Chan ,M
11,Aung Chein ,M
12,Aung Chit ,M
13,Aung Cho ,M
14,Aung Cho Oo ,M
15,Aung Chun ,M
16,Aung Din ,M
17,Aung Gyi ,M
18,Aung Han ,M
19,Aung Hein ,M
20,Aung Hla ,M
21,Aung Hla Tun ,M
22,Aung Hlaing ,M
23,Aung Htay ,M
24,Aung Htay Lwin ,M
25,Aung Htay Oo ,M
26,Aung Htay Win ,M
27,Aung Htike ,M
28,Aung Htoo ,M
29,Aung Htut ,M
30,Aung Htwe ,M
31,Aung Kha ,M
32,Aung Khaing ,M
33,Aung Khaing Oo ,M
34,Aung Khaing Win ,M
35,Aung Khant ,M
36,Aung Khin ,M
37,Aung Khin Sint ,M
38,Aung Khin Soe ,M
39,Aung Khin Zaw ,M
40,Aung Ko ,M
41,Aung Ko Ko ,M
42,Aung Ko Lat ,M
43,Aung Ko Oo ,M
44,Aung Ko Win ,M
45,Aung Kyaing ,M
46,Aung Kyaw ,M
47,Aung Kyaw Hein ,M
48,Aung Kyaw Htay ,M
49,Aung Kyaw Htoo ,M
50,Aung Kyaw Khaing ,M
51,Aung Kyaw Kyaw ,M
52,Aung Kyaw Lin ,M
53,Aung Kyaw Lwin ,M
54,Aung Kyaw Min ,M
55,Aung Kyaw Moe ,M
56,Aung Kyaw Myint ,M
57,Aung Kyaw Naing ,M
58,Aung Kyaw Nyunt ,M
59,Aung Kyaw Oo ,M
60,Aung Kyaw San ,M
61,Aung Kyaw Sein ,M
62,Aung Kyaw Soe ,M
63,Aung Kyaw Than ,M
64,Aung Kyaw Thein ,M
65,Aung Kyaw Thet ,M
66,Aung Kyaw Thu ,M
67,Aung Kyaw Tint ,M
68,Aung Kyaw Tun ,M
69,Aung Kyaw Win ,M
70,Aung Kyaw Zan ,M
71,Aung Kyaw Zaw ,M
72,Aung Kyi ,F
73,Aung Kyi ,M
74,Aung Kyi Myint ,M
75,Aung Kyi Thein ,M
76,Aung Kyi Win ,M
77,Aung Kyin ,M
78,Aung Kyin Myint ,M
79,Aung Kywe ,M
80,Aung Lat ,M
81,Aung Lay ,M
82,Aung Lin ,M
83,Aung Lin Oo ,M
84,Aung Lwin ,M
85,Aung Lwin Oo ,M
86,Aung Maung ,M
87,Aung Maw ,M
88,Aung Maw Lwin ,M
89,Aung Maw Thein ,M
90,Aung May ,F
91,Aung Min ,M
92,Aung Min Naing ,M
93,Aung Min Oo ,M
94,Aung Min Thein ,M
95,Aung Min Tun ,M
96,Aung Min Zaw ,M
97,Aung Moe ,M
98,Aung Moe Kyaw ,M
99,Aung Moe Myint ,M
100,Aung Moe Win ,M
101,Aung Mon ,M
102,Aung Moung ,M
103,Aung Mya ,M
104,Aung Myaing ,M
105,Aung Myat ,M
106,Aung Myat Kyaw ,M
107,Aung Myat Oo ,M
108,Aung Myat Soe ,M
109,Aung Myin ,M
110,Aung Myint ,M
111,Aung Myint Htay ,M
112,Aung Myint Kyaw ,M
113,Aung Myint Kyi ,M
114,Aung Myint Maung ,M
115,Aung Myint Naing ,M
116,Aung Myint Oo ,M
117,Aung Myint Sein ,M
118,Aung Myint Shwe ,M
119,Aung Myint Soe ,M
120,Aung Myint Swe ,M
121,Aung Myint Than ,M
122,Aung Myint Thein ,M
123,Aung Myint Tun ,M
124,Aung Myo ,M
125,Aung Myo Hein ,M
126,Aung Myo Htut ,M
127,Aung Myo Khaing ,M
128,Aung Myo Kyaw ,M
129,Aung Myo Lwin ,M
130,Aung Myo Myint ,M
131,Aung Myo Naing ,M
132,Aung Myo Oo ,M
133,Aung Myo Thant ,M
134,Aung Myo Thu ,M
135,Aung Myo Tun ,M
136,Aung Myo Win ,M
137,Aung Myo Zaw ,M
138,Aung Naing ,M
139,Aung Naing Htwe ,M
140,Aung Naing Lin ,M
141,Aung Naing Moe ,M
142,Aung Naing Myint ,M
